Source;Target;Type
'05968';SLGR;Undirected
'05968';NMT;Undirected
'05968';AGI;Undirected
'05968';MXN;Undirected
'05968';TTB;Undirected
'05968';FKG;Undirected
'05968';SZR;Undirected
'05968';BXJ;Undirected
'05968';DMV;Undirected
'05968';DPU;Undirected
'05968';LMG;Undirected
'05968';LKA;Undirected
'05968';HJI;Undirected
'05968';CPK;Undirected
'05968';JID;Undirected
'05968';GHY;Undirected
'05968';KYQ;Undirected
'05968';CGS;Undirected
'05968';RNY;Undirected
'06063';MS;Undirected
'06063';TBM;Undirected
'06063';CGL;Undirected
'06063';VM;Undirected
'06063';VRI;Undirected
'06063';TPJ;Undirected
'06063';DG;Undirected
'06063';KQN;Undirected
'06063';MDU;Undirected
'06063';VPT;Undirected
'06063';SRT;Undirected
'06063';CVP;Undirected
'06063';MEJ;Undirected
'06063';TEN;Undirected
'06064';TEN;Undirected
'06064';MEJ;Undirected
'06064';CVP;Undirected
'06064';SRT;Undirected
'06064';VPT;Undirected
'06064';MDU;Undirected
'06064';KQN;Undirected
'06064';DG;Undirected
'06064';TPJ;Undirected
'06064';VRI;Undirected
'06064';VM;Undirected
'06064';CGL;Undirected
'06064';TBM;Undirected
'06064';MBM;Undirected
'06064';MS;Undirected
'06065';MAS;Undirected
'06065';AJJ;Undirected
'06065';KPD;Undirected
'06065';JTJ;Undirected
'06065';SA;Undirected
'06065';ED;Undirected
'06065';TUP;Undirected
'06065';CBF;Undirected
'06065';CBE;Undirected
'06065';PTJ;Undirected
'06065';PGT;Undirected
'06065';OTP;Undirected
'06065';TCR;Undirected
'06065';AWY;Undirected
'06065';ERN;Undirected
'06065';ERS;Undirected
'06066';ERS;Undirected
'06066';AWY;Undirected
'06066';TCR;Undirected
'06066';OTP;Undirected
'06066';PGT;Undirected
'06066';CBE;Undirected
'06066';CBF;Undirected
'06066';TUP;Undirected
'06066';ED;Undirected
'06066';SA;Undirected
'06066';JTJ;Undirected
'06066';KPD;Undirected
'06066';AJJ;Undirected
'06066';PER;Undirected
'06066';MAS;Undirected
'06228';TLGP;Undirected
'06228';SRF;Undirected
'06228';ANF;Undirected
